"FoodID","FoodOrder","RecipeFoodID","PreparationMethodID","AmountIsAsPurchased","AmountUnitID","AmountValue","RecipeFoodText","RecipeFoodTextNormalized","RecipeFoodTextPhonetic"
25013,4,555,,0,11,7.25,"2/3 cup (7 1/2 oz) light molasses","2 3 CUP 7 1 2 OZ LIGHT MOLASSES","  KP    OS  LFT MLSS"
25013,5,503,1,0,15,1.12,"1 qt (1 lb 2 oz) flour","1 QT 1 LB 2 OZ FLOUR","KT  LB  OS  FLR"
25013,6,729,,0,11,2.00,"8 pkg (1/4 oz ea) active dry yeast","8 PKG 1 4 OZ EA ACTIVE DRY YEAST","PKK   OS E  AKTF TR YST"
25013,7,822,,0,6,1.50,"1 1/2 Tbsp salt","1 1 2 TBSP SALT","  TBSP SLT"
25013,8,96,1,0,11,10.50,"6 large (10 1/2 oz) eggs","6 LARGE 10 1 2 OZ EGGS","LRJ    OS  EKS"
25013,9,503,1,0,15,1.12,"1 qt (1 lb 2 oz) flour","1 QT 1 LB 2 OZ FLOUR","KT  LB  OS  FLR"
25013,10,503,1,0,15,2.21,"2 qt (2 lb 3 1/2 oz) flour","2 QT 2 LB 3 1 2 OZ FLOUR","KT  LB    OS  FLR"
25014,1,503,1,0,15,4.43,"4 qt (4 lb 7 oz) flour","4 QT 4 LB 7 OZ FLOUR","KT  LB  OS  FLR"
25014,2,681,,0,11,4.25,"2/3 cup (4 1/4 oz) baking powder","2 3 CUP 4 1 4 OZ BAKING POWDER","  KP    OS  BKNK PTR"
25014,3,561,,0,15,1.09,"2 1/2 cups (1 lb 1 1/2 oz) sugar","2 1 2 CUPS 1 LB 1 1 2 OZ SUGAR","  KPS  LB    OS  SKR"
25014,4,822,,0,6,2.00,"2 Tbsp salt","2 TBSP SALT","TBSP SLT"
25014,5,96,1,0,15,1.00,"9 large (1 lb) eggs","9 LARGE 1 LB EGGS","LRJ  LB  EKS"
25014,6,120,,0,15,1.15,"2 1/2 cups (1 lb 2 1/2 oz) oil","2 1 2 CUPS 1 LB 2 1 2 OZ OIL","  KPS  LB    OS  OL"
25014,7,57,1,0,9,2.25,"2-1/4 qt skim milk","2 1 4 QT SKIM MILK","   KT SKM MLK"
25015,1,503,1,0,15,4.43,"4 qt (4 lb 7 oz) flour","4 QT 4 LB 7 OZ FLOUR","KT  LB  OS  FLR"
25015,2,681,,0,11,4.25,"2/3 cup (4 1/4 oz) baking powder","2 3 CUP 4 1 4 OZ BAKING POWDER","  KP    OS  BKNK PTR"
25015,3,561,,0,15,1.09,"2 1/2 cups (1 lb 1 1/2 oz) sugar","2 1 2 CUPS 1 LB 1 1 2 OZ SUGAR","  KPS  LB    OS  SKR"
25015,4,822,,0,6,2.00,"2 Tbsp salt","2 TBSP SALT","TBSP SLT"
25015,5,96,1,0,15,1.00,"9 large (1 lb) eggs","9 LARGE 1 LB EGGS","LRJ  LB  EKS"
25015,6,120,,0,15,1.15,"2 1/2 cups (1 lb 2 1/2 oz) oil","2 1 2 CUPS 1 LB 2 1 2 OZ OIL","  KPS  LB    OS  OL"
25015,7,57,1,0,9,2.25,"2 1/4 qt skim milk","2 1 4 QT SKIM MILK","  KT SKM MLK"
25015,8,960,18,0,15,2.03,"1 1/2 qt (2 lb 1/2 oz) frozen blueberries","1 1 2 QT 2 LB 1 2 OZ FROZEN BLUEBERRIES","  KT  LB   OS  FRSN BLBRS"
25016,1,483,6,0,15,6.00,"3 3/4 qt (6 lb) rice, white or brown","3 3 4 QT 6 LB RICE WHITE OR BROWN","  KT  LB  RS  WT OR BRN"
25016,2,822,,0,6,1.30,"1 Tbsp & 1 tsp salt","1 TBSP 1 TSP SALT","TBSP   TSP SLT"
25017,1,1080,,0,11,24.00,"3 cans (8 oz ea) mushrooms pieces, canned","3 CANS 8 OZ EA MUSHROOMS PIECES CANNED","KNS  OS E  MXRMS PSS  KNT"
25017,2,507,1,0,15,1.12,"1 quart (1 lb 2 oz) almonds, blanched, chopped","1 QUART 1 LB 2 OZ ALMONDS BLANCHED CHOPPED","KRT  LB  OS  ALMNTS  BLNXT  XPT"
25017,3,29266,1,0,11,8.00,"2 cups (8 oz) frozen chopped onions","2 CUPS 8 OZ FROZEN CHOPPED ONIONS","KPS  OS  FRSN XPT ONNS"
25017,4,929,,0,11,8.00,"1 cup (8 oz) margarine","1 CUP 8 OZ MARGARINE","KP  OS  MRKRN"
25017,5,5,1,0,15,2.28,"2 1/2 qt (2 lb 4 1/2 oz) cheddar cheese, shredded","2 1 2 QT 2 LB 4 1 2 OZ CHEDDAR CHEESE SHREDDED","  KT  LB    OS  XTR XS  XRTT"
25017,6,483,6,0,15,4.68,"2 3/4 qt (4 lb 11 oz) long grain white rice","2 3 4 QT 4 LB 11 OZ LONG GRAIN WHITE RICE","  KT  LB  OS  LNK KRN WT RS"
25017,7,817,,0,8,1.00,"1 cup dehydrated parsley flakes","1 CUP DEHYDRATED PARSLEY FLAKES","KP TTRTT PRSL FLKS"
25017,8,818,,0,5,1.00,"1 tsp pepper","1 TSP PEPPER","TSP PPR"
25017,9,8552,,0,5,2.00,"2 tsp basil leaves","2 TSP BASIL LEAVES","TSP BSL LFS"
25017,10,3084,,0,11,42.00,"4 cans (10 1/2 oz ea) beef broth, condensed","4 CANS 10 1 2 OZ EA BEEF BROTH CONDENSED","KNS    OS E  BF BR0  KNTNST"
25017,11,1821,,0,17,6350.23,"1 3/4 gal mushroom liquid and water, boiling","1 3 4 GAL MUSHROOM LIQUID AND WATER BOILING","  KL MXRM LKT ANT WTR  BLNK"
25018,1,57,1,0,10,1.50,"1-1/2 gal skim milk","1 1 2 GAL SKIM MILK","   KL SKM MLK"
25018,2,426,1,0,15,2.68,"2 qt (2 lb 11 oz) cornmeal","2 QT 2 LB 11 OZ CORNMEAL","KT  LB  OS  KRNML"
25018,3,822,,0,6,3.00,"3 Tbsp salt","3 TBSP SALT","TBSP SLT"
25018,4,929,,0,11,4.00,"1/2 cup (4 oz) margarine","1 2 CUP 4 OZ MARGARINE","  KP  OS  MRKRN"
25018,5,98,43,0,15,1.18,"32 large (1 lb 3 oz) egg yolks, beaten","32 LARGE 1 LB 3 OZ EGG YOLKS BEATEN","LRJ  LB  OS  EK YLKS  BTN"
25018,6,97,1,0,15,2.31,"32 large (2 lb 5 oz) egg whites","32 LARGE 2 LB 5 OZ EGG WHITES","LRJ  LB  OS  EK WTS"
25019,1,503,1,0,15,2.21,"2 qt (2 lb 3 1/2 oz) flour","2 QT 2 LB 3 1 2 OZ FLOUR","KT  LB    OS  FLR"
25019,2,561,,0,11,3.50,"1/2 cup (3 1/2 oz) sugar","1 2 CUP 3 1 2 OZ SUGAR","  KP    OS  SKR"
25019,3,729,,0,11,1.00,"4 pkg (1/4 oz ea) active dry yeast","4 PKG 1 4 OZ EA ACTIVE DRY YEAST","PKK   OS E  AKTF TR YST"
25019,4,822,,0,6,2.00,"2 Tbsp salt","2 TBSP SALT","TBSP SLT"
25019,5,57,1,0,9,1.12,"1 qt & 1/2 cup skim milk","1 QT 1 2 CUP SKIM MILK","KT    KP SKM MLK"
25019,6,120,,0,11,7.25,"1 cup (7 1/4 oz) oil","1 CUP 7 1 4 OZ OIL","KP    OS  OL"
25019,7,96,1,0,11,7.00,"4 large (7 oz) eggs, slightly beaten","4 LARGE 7 OZ EGGS SLIGHTLY BEATEN","LRJ  OS  EKS  SLFTL BTN"
25019,8,503,1,0,15,2.21,"2 qt (2 lb 3 1/2 oz) flour","2 QT 2 LB 3 1 2 OZ FLOUR","KT  LB    OS  FLR"
25020,1,506,1,0,15,2.25,"2 qt 1/2 cup (2 lb 4 oz) whole wheat flour","2 QT 1 2 CUP 2 LB 4 OZ WHOLE WHEAT FLOUR","KT   KP  LB  OS  WL WT FLR"
25020,2,503,1,0,15,2.21,"2 qt (2 lb 3 1/2 oz) white flour","2 QT 2 LB 3 1 2 OZ WHITE FLOUR","KT  LB    OS  WT FLR"
25020,3,561,,0,11,3.50,"1/2 cup (3 1/2 oz) sugar","1 2 CUP 3 1 2 OZ SUGAR","  KP    OS  SKR"
25020,4,729,,0,11,1.00,"4 pkg (1/4 oz ea) active dry yeast","4 PKG 1 4 OZ EA ACTIVE DRY YEAST","PKK   OS E  AKTF TR YST"
25020,5,822,,0,6,2.00,"2 Tbsp salt","2 TBSP SALT","TBSP SLT"
25020,6,57,1,0,9,1.12,"1 qt 1/2 cup skim milk","1 QT 1 2 CUP SKIM MILK","KT   KP SKM MLK"
25020,7,120,,0,11,7.25,"1 cup (7 1/2 oz) oil","1 CUP 7 1 2 OZ OIL","KP    OS  OL"
25020,8,96,1,0,11,7.00,"4 large (7 oz) eggs, slightly beaten","4 LARGE 7 OZ EGGS SLIGHTLY BEATEN","LRJ  OS  EKS  SLFTL BTN"
25021,1,503,1,0,15,2.21,"2 qt (2 lb 3 1/2 oz) flour","2 QT 2 LB 3 1 2 OZ FLOUR","KT  LB    OS  FLR"
25021,2,822,,0,5,2.00,"2 tsp salt","2 TSP SALT","TSP SLT"
25021,3,924,,0,15,1.31,"2-2/3 cups (1 lb 5 oz) margarine","2 2 3 CUPS 1 LB 5 OZ MARGARINE","   KPS  LB  OS  MRKRN"
25021,4,1821,,0,8,1.00,"1 cup cold water","1 CUP COLD WATER","KP KLT WTR"
25021,5,951,,0,11,416.00,"4 cans (104 oz ea) unsweetened sliced apples","4 CANS 104 OZ EA UNSWEETENED SLICED APPLES","KNS  OS E  UNSWTNT SLST APLS"
25021,6,1821,,0,17,2494.70,"1 gal apple liquid and water","1 GAL APPLE LIQUID AND WATER","KL APL LKT ANT WTR"
25021,7,561,,0,15,2.56,"1 1/2 qt (2 lb 9 oz) sugar","1 1 2 QT 2 LB 9 OZ SUGAR","  KT  LB  OS  SKR"
25021,8,811,,0,6,2.00,"2 Tbsp ground cinnamon","2 TBSP GROUND CINNAMON","TBSP KRNT SNMN"
25021,9,814,,0,6,1.00,"1 Tbsp ground nutmeg","1 TBSP GROUND NUTMEG","TBSP KRNT NTMK"
25021,10,1706,,0,11,6.00,"1-1/3 cups (6 oz) cornstarch","1 1 3 CUPS 6 OZ CORNSTARCH","   KPS  OS  KRNSTRX"
25022,1,561,,0,15,1.09,"1 qt (1 lb 1 1/2 oz) sugar","1 QT 1 LB 1 1 2 OZ SUGAR","KT  LB    OS  SKR"
25022,2,822,,0,5,2.00,"2 tsp salt","2 TSP SALT","TSP SLT"
25022,3,96,1,0,15,5.25,"48 large (5 lb 4 oz) eggs","48 LARGE 5 LB 4 OZ EGGS","LRJ  LB  OS  EKS"
25022,4,57,1,0,10,2.50,"2 1/2 gal heated skim milk","2 1 2 GAL HEATED SKIM MILK","  KL HTT SKM MLK"
25022,5,1903,,0,8,0.25,"1/4 cup vanilla","1 4 CUP VANILLA","  KP FNL"
25022,6,814,,0,5,1.00,"nutmeg as desired","NUTMEG AS DESIRED","NTMK AS TSRT"
25023,1,2869,,0,15,1.40,"1 qt tapioca","1 QT TAPIOCA","KT TPK"
25023,2,561,,0,11,14.00,"2 cups (14 oz) sugar","2 CUPS 14 OZ SUGAR","KPS  OS  SKR"
25023,3,822,,0,6,1.00,"1 Tbsp salt","1 TBSP SALT","TBSP SLT"
25023,4,812,,0,5,1.00,"1 tsp ground cloves","1 TSP GROUND CLOVES","TSP KRNT KLFS"
25023,5,1638,,0,10,1.00,"1 gal cranberry juice cocktail","1 GAL CRANBERRY JUICE COCKTAIL","KL KRNBR JS KKTL"
25023,6,225,,0,10,1.00,"1 gal apple juice","1 GAL APPLE JUICE","KL APL JS"
25023,7,3049,22,0,11,318.00,"3 cans (106 oz ea) pear halves, lite syrup, drained, diced","3 CANS 106 OZ EA PEAR HALVES LITE SYRUP DRAINED DICED","KNS  OS E  PR HLFS  LT SRP  TRNT  TST"
25024,1,561,,0,15,5.25,"3 qt (5 lb 4 oz) sugar","3 QT 5 LB 4 OZ SUGAR","KT  LB  OS  SKR"
25024,2,822,,0,6,1.00,"1 Tbsp salt","1 TBSP SALT","TBSP SLT"
25024,3,1821,,0,10,1.50,"1 1/2 gal water","1 1 2 GAL WATER","  KL WTR"
25024,4,96,33,0,15,1.75,"16 large (1 lb 12 oz) eggs","16 LARGE 1 LB 12 OZ EGGS","LRJ  LB  OS  EKS"
25024,5,1821,,0,9,3.00,"3 qt water","3 QT WATER","KT WTR"
25024,6,1706,,0,15,1.25,"4-1/2 cups (1 lb 4 oz) cornstarch","4 1 2 CUPS 1 LB 4 OZ CORNSTARCH","   KPS  LB  OS  KRNSTRX"
25024,7,264,,0,9,1.50,"1 1/2 qt frozen lemon juice, thawed","1 1 2 QT FROZEN LEMON JUICE THAWED","  KT FRSN LMN JS  0WT"
25024,8,993,,0,8,0.25,"1/4 cup grated lemon rind","1 4 CUP GRATED LEMON RIND","  KP KRTT LMN RNT"
25024,9,924,,0,11,8.00,"1 cup (8 oz) margarine","1 CUP 8 OZ MARGARINE","KP  OS  MRKRN"
25025,1,96,1,0,11,7.00,"4 large (7 oz) eggs","4 LARGE 7 OZ EGGS","LRJ  OS  EKS"
25025,2,503,1,0,15,1.65,"1 1/2 qt (1 lb 10 1/2 oz) flour","1 1 2 QT 1 LB 10 1 2 OZ FLOUR","  KT  LB    OS  FLR"
25025,3,822,,0,5,1.50,"1 1/2 tsp salt","1 1 2 TSP SALT","  TSP SLT"
25025,4,1611,,0,5,1.50,"1 1/2 tsp baking soda","1 1 2 TSP BAKING SODA","  TSP BKNK ST"
25025,5,1183,,0,5,2.00,"2 tsp ginger","2 TSP GINGER","TSP JNJR"
25025,6,57,1,0,8,0.67,"2/3 cup skim milk","2 3 CUP SKIM MILK","  KP SKM MLK"
25025,7,8652,1,0,11,7.75,"3 cups (7 3/4 oz) quick-cooking rolled oats","3 CUPS 7 3 4 OZ QUICK COOKING ROLLED OATS","KPS    OS  KK KKNK RLT OTS"
25025,8,244,1,0,11,12.00,"2 cups (12 oz) chopped dates","2 CUPS 12 OZ CHOPPED DATES","KPS  OS  XPT TTS"
25025,9,8586,,0,11,13.00,"2 cups (13 oz) shortening","2 CUPS 13 OZ SHORTENING","KPS  OS  XRTNNK"
25025,10,561,,0,11,10.50,"1 1/2 cups (10 1/2 oz) sugar","1 1 2 CUPS 10 1 2 OZ SUGAR","  KPS    OS  SKR"
25025,11,556,,0,15,1.03,"1 1/2 cups (1 lb 1/2 oz) dark molasses","1 1 2 CUPS 1 LB 1 2 OZ DARK MOLASSES","  KPS  LB   OS  TRK MLSS"
25026,1,3043,22,0,11,636.00,"6 cans (106 oz ea) peaches, sliced, light syrup, drained","6 CANS 106 OZ EA PEACHES SLICED LIGHT SYRUP DRAINED","KNS  OS E  PXS  SLST  LFT SRP  TRNT"
25026,2,559,,0,15,2.81,"1 1/2 qt (2 lb 13 oz) packed brown sugar","1 1 2 QT 2 LB 13 OZ PACKED BROWN SUGAR","  KT  LB  OS  PKT BRN SKR"
25026,3,503,1,0,15,1.65,"1 1/2 qt (1 lb 10 1/2 oz) flour","1 1 2 QT 1 LB 10 1 2 OZ FLOUR","  KT  LB    OS  FLR"
25026,4,8652,1,0,11,15.50,"1-1/2 qt (15 1/2 oz) quick-cooking rolled oats","1 1 2 QT 15 1 2 OZ QUICK COOKING ROLLED OATS","   KT    OS  KK KKNK RLT OTS"
25026,5,814,,0,11,0.75,"3 Tbsp (3/4 oz) nutmeg","3 TBSP 3 4 OZ NUTMEG","TBSP   OS  NTMK"
25026,6,811,,0,11,0.75,"3 Tbsp (3/4 oz) ground cinnamon","3 TBSP 3 4 OZ GROUND CINNAMON","TBSP   OS  KRNT SNMN"
25026,7,924,,0,15,2.00,"1 qt (2 lb) margarine","1 QT 2 LB MARGARINE","KT  LB  MRKRN"
25027,1,430,,0,15,1.62,"2 qt (1 lb 10 oz) graham cracker crumbs","2 QT 1 LB 10 OZ GRAHAM CRACKER CRUMBS","KT  LB  OS  KRHM KRKR KRMBS"
25027,2,807,,0,5,1.50,"1 1/2 tsp ground allspice","1 1 2 TSP GROUND ALLSPICE","  TSP KRNT ALSPS"
25027,3,924,,0,11,6.00,"3/4 cup (6 oz) margarine","3 4 CUP 6 OZ MARGARINE","  KP  OS  MRKRN"
25027,4,3041,,0,11,128.00,"8 cans (16 oz ea) sliced peaches in juice","8 CANS 16 OZ EA SLICED PEACHES IN JUICE","KNS  OS E  SLST PXS IN JS"
