"FoodID","LineNumber","InstructionText"
25033,2,"batter into 4 greased baking pans (about 12 by 20 inches), about 2 1/2 quarts or 3 pounds 8 ounces per pan.  Bake at 350 degree F (moderate oven) about 25 minutes or until cake surface springs back when touched lightly.  Cut each pan 5 x 5.  Serving size:"
25033,3," 1 piece, about 2 by 3 3/4 inches."
25034,1,"For 100 servings:  mix shortening and sugar until light and fluffy.  Add eggs and vanilla; beat until light and creamy.  Mix flour, baking powder, spices, and salt.  Add flour mixture alternately with milk to creamy mixture.  Beat well after each"
25034,2,"addition.  Pour batter into 4 greased baking pans (12''x20''), about 2-1/2 qt or 3 lb 8 oz per pan.  Bake at 350 degrees F for 25 minutes or until cake surface springs back when touched lightly.  Cut each pan 5 x 5.  Serving size:  1 piece, about 2 by 3"
25034,3,"3/4 inches."
25035,1,"For 100 servings:  break eggs into small bowl.  Any shell fragments in bowl should be removed.  Pour broken out eggs into mixer bowl.  When all eggs are in mixer bowl, beat slightly to break yolks.  Add milk and salt.  Beat until well mixed.  Place 2 T"
25035,2,"margarine in each of two baking pans (12''x20'').  Pour egg mixture into pans, about 3 qt or 6 lb 6 oz per pan.  Bake at 350 degrees F until eggs are well done and dry, about 25 minutes, stirring after 15 minutes and again after 20 minutes.  Stir to break"
25035,3,"up chunks.  Serve with Number 16 scoop (1/4 c).  Serving size:  1/4 cup or 1 egg."
25036,1,"For 100 servings:  sort beans; wash, if needed.  Add beans to 3 gallons boiling water.  Boil 2 minutes.  Remove from heat.  Cover and let soak 1 hour or if more convenient, cool and let stand overnight in refrigerator.  Add 1/2 t salt for each lb of dry"
25036,2,"beans.  Cook in soaking liquid until tender (1/2 hour).  Add boiling water, if needed.  Drain; serve or use in recipe.  Serving size:  3 ounces."
25037,1,"For 100 servings:  sort beans; wash if needed.  Add beans to3-1/2 gal boiling water.  Boil 2 minutes.  Remove from heat.  Cover and let soak 1 hour or if more convenient, cool and let stand over night in refrigerator.  Add 1/2 t salt for each pound of dry"
25037,2,"beans.  Cook in soaking liquid until tender (1 to 1-1/2 hours).  Add boiling water, if needed.  Drain; serve or use in recipe.  Serving size:  3 ounces."
25038,1,"For 100 servings:  sort beans; wash, if needed.  Add beans to 3 1/2 gal boiling water.  Boil 2 minutes.  Remove from heat.  Cover and let soak 1 hour or if more convenient, cool and let stand overnight in refrigerator.  Add 1/2 t salt for each lb of dry"
25038,2,"beans.  Cook in soaking liquid until tender (2 hr).  Add boiling water, if needed.  Drain; serve or use in recipe.  Serving size:  3 ounces."
25039,1,"For 100 servings:  sort lentils; wash if needed.  Add 1/2 t salt for each pound of dry lentils.  Cook in 3 gal water until tender (1/2 hr).  Add boiling water, if needed.  Drain; serve or use in recipe.  Serving size:  3 ounces."
25040,1,"Sort beans; wash if needed.  Add beans to 3 gal & 1 1/2 qt boiling water.  Boil 2 minutes.  Remove from heat.  Cover and let soak 1 hour or if more convenient, cook and let stand overnight in refrigerator.  Add 1/2 t salt for each lb of dry beans.  Cook"
25040,2,"in soaking liquid until tender (1 hour).  Add boiling water, if needed.  Drain; serve or use in recipe.  Serving size:  3 ounces."
25041,1,"For 100 servings:  sort beans; wash if needed.  Add beans to 3-1/2 gal boiling water.  Boil 2 minutes.  Remove from heat.  Cover and let soak 1 hour or, cool and let stand overnight in refrigerator.  Add 1/2 t salt for each lb of dry beans.  Cook in"
25041,2,"soaking liquid until tender (1 hour).  Add boiling water, if needed.  Drain; serve or use in recipe.  Serving size:  3 ounces."
25042,1,"For 100 servings:  sort beans; wash if needed.  Add beans to 3-2/3 gal boiling water.  Boil 2 minutes.  Remove from heat.  Cover and let soak 1 hour, or cool  an let stand overnight in refrigerator.  Add 1/2 t salt for each lb of dry beans.  Cook in"
25042,2,"soaking liquid until tender (1-1/2 to 2 hours).  Add boiling water, if needed.  Drain; serve or use in recipe.  Serving size:  3 ounces."
25043,1,"Sort peas; wash if needed.  Add peas to 2 gal & 1-1/2 qt boiling water.  Boil 2 minutes.  Remove from heat.  Cover and let soak 1/2 hour.  Add 1/2 t salt for each lb of dry peas.  Cook in soaking liquid until tender (20 minutes).  Add boiling water, if"
25043,2,"needed.  Drain; serve or use in recipe.  Serving size:  3 ounces."
25044,1,"For 100 servings:  sort beans; wash if needed.  Add peas to 3 gal & 2 qt boiling water.  Boil 2 minutes.  Remove from heat.  Cover and let soak 1 hour, or cool and let stand overnight in refrigerator.  Add 1/2 t salt for each lb of dry beans.  Cook in"
25044,2,"soaking liquid until tender (2 hours).  Add boiling water, if needed.  Drain; serve or use in recipe.  Serving size:  3 ounces."
25045,1,"For 100 servings:  sort beans; wash if needed.  Add beans to 4 gal & 3 qt boiling water.  Boil 2 minutes.  Remove from heat.  Cover and let soak 1 hour or cool and let stand overnight in refrigerator.  Add 1/2 t salt for each lb of dry beans.  Cook in"
25045,2,"soaking liquid until tender (2 - 3 hours).  Add boiling water, if needed.  Drain; serve or use in recipe.  Serving size:  3 ounces."
25046,1,"For 100 servings:  bring sufficient water to boil in heavy stockpot or steam-jacketed kettle to cover eggs.  Cook in batches of 50 eggs for ease in handling.  Gently lower eggs into water, using perforated basket or large slotted spoon.  Return to water"
25046,2,"to simmering.  Simmer 20 minutes.  Remove eggs from stockpot or kettle.  Plunge into cold water.  To serve warm, remove eggs immediately from cold water.  Or, to serve cold or use in salads, hold eggs in cold water until eggs are cool, about 10 minutes."
25046,3," Change water if necessary to keep it cold.  Refrigerate.  To crack and shell eggs, roll eggs gently to break shell.  Start peeling from large end.  Serve.  Serving size:  1 egg."
25047,1,"For 100 servings:  trim fat from roasts.  Place roasts on racks in shallow open roasting pans.  Allow space in pans between roasts.  Insert a meat thermometer into the center of the smallest roast so the tip is not touching bone, fat, or gristle.  Roast"
25047,2,"at 325 degrees F until the thermometer reads 160 degrees F (3-1/4 TO 4-1/2 hours).  Remove roast from pan.  Move thermometer to the next larger roast; follow this procedure until all the meat is cooked.  Let roasts stand 15 to 20 minutes; then slice and"
25047,3,"serve immediately to insure highest quality.  Serving size:  3 ounces."
25048,1,"For 100 servings:  trim fat from roasts.  Place roasts on racks in shallow open roasting pans.  Allow space in pans between roasts.  Insert a meat thermometer into the center of the smallest roast so the tip is not touching bone, fat, or gristle.  Roast"
25048,2,"at 325 degrees F until the thermometer reads 160 degrees F (approximate roasting time 3-1/4 to 4 hr).  Remove roast from pan.  Move thermometer to the next larger roast; follow this procedure until all the meat is cooked.  Let roasts stand 15 to 20"
25048,3,"minutes; then slice and serve immediately to insure highest quality.  Serving size:  3 ounces."
25049,1,"For 100 servings:  trim fat from roasts.  Place roasts on racks in shallow open roasting pans.  Allow space in pans between roasts.  Insert a meat thermometer into the center of the smallest roast so the tip is not touching bone, fat, or gristle.  Roast"
25049,2,"at 325 degrees F until the thermometer reads 160 degrees F (approximate roasting time 2 to 2-1/2 hr).  Remove roast from pan.  Move thermometer to the next larger roast; follow this procedure until all the meat is cooked.  Let roasts stand 15 to 20"
25049,3,"minutes; then slice and serve immediately to insure highest quality.  Serving size:  3 ounces."
25050,1,"For 100 servings:  trim fat from roasts.  Place roasts on racks in shallow open roasting pans.  Allow space in pans between roasts.  Insert a meat thermometer into the center of the smallest roast so the tip is not touching bone, fat, or gristle.  Roast"
25050,2,"at 325 degrees F until the thermometer reads 160 degrees F (approximate roasting time = 3-1/2 to 4 hr).  Remove roast from pan.  Move thermometer to the next larger roast; follow this procedure until all the meat is cooked.  Let roasts stand 15 to 20"
25050,3,"minutes; then slice and serve immediately to insure highest quality.  Serving size:  3 ounces."
25051,1,"For 100 servings:  trim fat from roasts.  Place roasts on racks in shallow open roasting pans.  Allow space in pans between roasts.  Insert a meat thermometer into the center of the smallest roast so the tip is not touching bone, fat, or gristle.  Roast"
25051,2,"at 325 degrees F until the thermometer reads 180 degrees F (approximate roasting time = 2-1/4 to 3-1/2 hr).  Remove roast from pan.  Move thermometer to the next larger roast; follow this procedure until all the meat is cooked.  Let roasts stand 15 to 20"
25051,3,"minutes; then slice and serve immediately to insure highest quality.  Serving size:  3 ounces."
25052,1,"For 100 servings:  trim fat from roasts.  Place roasts on racks in shallow open roasting pans.  Allow space in pans between roasts.  Insert a meat thermometer into the center of the smallest roast so the tip is not touching bone, fat, or gristle.  Roast"
25052,2,"at 325 degrees F until the thermometer reads 180 degrees F (approximate roasting time = 2-1/4 to 3 hr).  Remove roast from pan.  Move thermometer to the next larger roast; follow this procedure until all the meat is cooked.  Let roasts stand 15 to 20"
25052,3,"minutes; then slice and serve immediately to insure highest quality.  Serving size:  3 ounces."
25053,1,"For 100 servings:  trim fat from roasts.  Place roasts on racks in shallow open roasting pans.  Allow space in pans between roasts.  Insert a meat thermometer into the center of the smallest roast so the tip is not touching bone, fat, or gristle.  Roast"
25053,2,"at 325 degrees F until the thermometer reads 170 degrees F (approximate roasting time = 4-1/2 to 5-1/2 hr).  Remove roast from pan.  Move thermometer to the next larger roast; follow this procedure until all the meat is cooked.  Let roasts stand 15 to 20"
25053,3,"minutes; then slice and serve immediately to insure highest quality.    Serving size:  3 ounces."
25054,1,"For 100 servings:  trim fat from roasts.  Place roasts on racks in shallow open roasting pans.  Allow space in pans between roasts.  Insert a meat thermometer into the center of the smallest roast so the tip is not touching bone, fat, or gristle.  Roast"
25054,2,"at 325 degrees F until the thermometer reads 170 degrees F (approximate roasting time = 3 to 4 hr).  Remove roast from pan.  Move thermometer to the next larger roast; follow this procedure until all the meat is cooked.  Let roasts stand 15 to 20 minutes;"
25054,3,"then slice and serve immediately to insure highest quality.  Serving size:  3 ounces."
25055,1,"For 100 servings:  trim fat from roasts.  Place roasts on racks in shallow open roasting pans.  Allow space in pans between roasts.  Insert a meat thermometer into the center of the smallest roast so the tip is not touching bone, fat, or gristle.  Roast"
25055,2,"at 325 degrees F until the thermometer reads 170 degrees F (approximate roasting time = 3 to 4 hr).  Remove roast from pan.  Move thermometer to the next larger roast; follow this procedure until all the meat is cooked.  Let roasts stand 15 to 20 minutes;"
25055,3,"then slice and serve immediately to insure highest quality.  Serving size:  3 ounces."
25056,1,"For 100 servings:  trim fat from roasts.  Place roasts on racks in shallow open roasting pans.  Allow space in pans between roasts.  Insert a meat thermometer into the center of the smallest roast so the tip is not touching bone, fat, or gristle.  Roast"
25056,2,"at 325 degrees F until the thermometer reads 170 degrees F (approximate roasting time = 1-1/2 to 2-1/2 hr).  Remove roast from pan.  Move thermometer to the next larger roast; follow this procedure until all the meat is cooked.  Let roasts stand 15 to 20"
25056,3,"minutes; then slice and serve immediately to insure highest quality.  Serving size:  3 ounces."
25057,1,"For 100 servings:  trim fat from roasts.  Place roasts on racks in shallow open roasting pans.  Allow space in pans between roasts.  Insert a meat thermometer into the center of the smallest roast so the tip is not touching bone, fat, or gristle.  Roast"
25057,2,"at 325 degrees F until the thermometer reads 140 degrees F (approximate roasting time = 3-1/2 to 4 hr).  Remove roast from pan.  Move thermometer to the next larger roast; follow this procedure until all the meat is cooked.  Let roasts stand 15 to 20"
25057,3,"minutes; then slice and serve immediately to insure highest quality.  Serving size:  3 ounces."
25058,1,"For 100 servings:  trim fat from roasts.  Place roasts on racks in shallow open roasting pans.  Allow space in pans between roasts.  Insert a meat thermometer into the center of the smallest roast so the tip is not touching bone, fat, or gristle.  Roast"
25058,2,"at 325 degrees F until the thermometer reads 140 degrees F (approximate roasting time = 1-1/2 to 2-1/2 hr).  Remove roast from pan.  Move thermometer to the next larger roast; follow this procedure until all the meat is cooked.  Let roasts stand 15 to 20"
25058,3,"minutes; then slice and serve immediately to insure highest quality.  Serving size:  3 ounces."
25059,1,"For 100 servings:  trim fat from roasts.  Place roasts on racks in shallow open roasting pans.  Allow space in pans between roasts.  Insert a meat thermometer into the center of the smallest roast so the tip is not touching bone, fat, or gristle.  Roast"
25059,2,"at 325 degrees F until the thermometer reads 170 degrees F (approximate roasting time 2 to 3 hr).  Remove roast from pan.  Move thermometer to the next larger roast; follow this procedure until all the meat is cooked.  Let roasts stand 15 to 20 minutes;"
25059,3,"then slice and serve immediately to insure highest quality.  Serving size:  3 ounces."
25060,1,"For 100 servings:  trim fat from roasts.  Place roasts on racks in shallow open roasting pans.  Allow space in pans between roasts.  Insert a meat thermometer into the center of the smallest roast so the tip is not touching bone, fat, or gristle.  Roast"
25060,2,"at 325 degrees F until the thermometer reads 170 degrees F (approximate roasting time 2-1/4 to 3-1/2 hr).  Remove roast from pan.  Move thermometer to the next larger roast; follow this procedure until all the meat is cooked.  Let roasts stand 15 to 20"
25060,3,"minutes; then slice and serve immediately to insure highest quality.  Serving size:  3 ounces."
25061,1,"For 100 servings:  brown the meat slowly on all sides.  Cook meat with no additional moisture or add a small amount of liquid, if desired.  Cover pan.  Simmer on top of range or in tilting kettle, or bake at 350 degrees F until meat is tender (3 - 4"
25061,2,"hours).  Remove roasts from pan and let stand 15 to 20 minutes; slice and serve.  Serving size:  3 oz lean meat."
25062,1,"For 100 servings:  brown the meat slowly on all sides.  Cook meat with no additional moisture or add a small amount of liquid, if desired.  Cover pan.  Simmer on top of range or in tilting kettle, or bake at 350 degrees F until meat is tender (4 - 5"
25062,2,"hours).  Remove roasts from pan and let stand 15 to 20 minutes; slice and serve.  Serving size:  3 oz lean meat."
25063,1,"For 100 servings:  brown the meat slowly on all sides.  Cook meat with no additional moisture or add a small amount of liquid, if desired.  Cover pan.  Simmer on top of range or in tilting kettle, or bake at 350 degrees F until meat is tender (1-1/2 - 2"
25063,2,"hours).  Remove roasts from pan and let stand 15 to 20 minutes; slice and serve.  Serving size:  3 oz lean meat."
25064,1,"For 100 servings:  brown the meat slowly on all sides.  Cook meat with no additional moisture or add a small amount of liquid, if desired.  Cover pan.  Simmer on top of range or in tilting kettle, or bake at 350 degrees F until meat is tender (3 - 5"
25064,2,"hours).  Remove roasts from pan and let stand 15 to 20 minutes; slice and serve.  Serving size:  3 oz lean meat."
25065,1,"For 100 servings:  brown the meat slowly on all sides.  Cook meat with no additional moisture or add a small amount of liquid, if desired.  Cover pan.  Simmer on top of range or in tilting kettle, or bake at 350 degrees F until meat is tender (3/4 - 1"
25065,2,"hours).  Remove roasts from pan and let stand 15 to 20 minutes; slice and serve.  Serving size:  3 oz lean meat."
25066,1,"For 100 servings:  brown the meat slowly on all sides.  Cook meat with no additional moisture or add a small amount of liquid, if desired.  Cover pan.  Simmer on top of range or in tilting kettle, or bake at 350 degrees F until meat is tender (1-1/2 - 2"
25066,2,"hours).  Remove roasts from pan and let stand 15 to 20 minutes; slice and serve.  Serving size:  3 oz lean meat."
