"NutrientGoalTemplateID","NutrientID","NutrientValue"
7,91,1210.00
7,92,1210.00
7,93,1210.00
7,94,2750.00
7,96,2090.00
7,105,2100.00
7,113,300.00
7,114,600.00
8,1,2200.00
8,2,110.00
8,3,275.00
8,4,73.33
8,6,300.00
8,7,24.44
8,8,24.44
8,9,24.44
8,26,3.67
8,34,1500.00
8,35,4700.00
8,37,800.00
8,45,65.00
8,46,1300.00
8,47,15.00
8,48,5.00
8,50,15.00
8,53,1.00
8,54,1.00
8,55,14.00
8,57,1.20
8,59,2.40
8,60,25.00
8,61,5.00
8,62,75.00
8,63,1250.00
8,64,150.00
8,65,360.00
8,66,9.00
8,67,0.89
8,68,1.60
8,69,55.00
8,70,2900.00
8,71,0.02
8,72,43.00
8,74,24.00
8,85,550.00
8,86,990.00
8,87,1430.00
8,88,2090.00
8,89,1760.00
8,90,935.00
8,91,935.00
8,92,1045.00
8,93,1045.00
8,94,1430.00
8,96,1210.00
8,105,2300.00
8,113,400.00
8,114,700.00
9,1,2200.00
9,2,110.00
9,3,275.00
9,4,73.33
9,6,300.00
9,7,24.44
9,8,24.44
9,9,24.44
9,26,3.67
9,34,1500.00
9,35,4700.00
9,37,800.00
9,45,75.00
9,46,1000.00
9,47,18.00
9,48,5.00
9,50,15.00
9,53,1.10
9,54,1.10
9,55,14.00
9,57,1.30
9,59,2.40
9,60,30.00
9,61,5.00
9,62,90.00
9,63,700.00
9,64,150.00
9,65,310.00
9,66,8.00
9,67,0.90
9,68,1.80
9,69,55.00
9,70,3100.00
9,71,0.02
9,72,45.00
9,74,24.00
9,85,550.00
9,86,990.00
9,87,1430.00
9,88,2090.00
9,89,1760.00
9,90,935.00
9,91,935.00
9,92,1045.00
9,93,1045.00
9,94,1430.00
9,96,1210.00
9,105,2700.00
9,113,400.00
9,114,700.00
10,1,2200.00
10,2,110.00
10,3,275.00
10,4,73.33
10,6,300.00
10,7,24.44
10,8,24.44
10,9,24.44
10,26,3.67
10,34,1500.00
10,35,4700.00
10,37,800.00
10,45,75.00
10,46,1000.00
10,47,18.00
10,48,5.00
10,50,15.00
10,53,1.10
10,54,1.10
10,55,14.00
10,57,1.30
10,59,2.40
10,60,30.00
10,61,5.00
10,62,90.00
10,63,700.00
10,64,150.00
10,65,320.00
10,66,8.00
10,67,0.90
10,68,1.80
10,69,55.00
10,70,3100.00
10,71,0.02
10,72,45.00
10,74,24.00
10,85,550.00
10,86,990.00
10,87,1430.00
10,88,2090.00
10,89,1760.00
10,90,935.00
10,91,935.00
10,92,1045.00
10,93,1045.00
10,94,1430.00
10,96,1210.00
10,105,2700.00
10,113,400.00
10,114,700.00
11,1,1900.00
11,2,95.00
11,3,237.00
11,4,63.33
11,6,300.00
11,7,21.11
11,8,21.11
11,9,21.11
11,26,3.17
11,34,1300.00
11,35,4700.00
11,37,800.00
11,45,75.00
11,46,1200.00
11,47,8.00
11,48,10.00
11,50,15.00
11,53,1.10
11,54,1.10
11,55,14.00
11,57,1.50
11,59,2.40
11,60,30.00
11,61,5.00
11,62,90.00
11,63,700.00
11,64,150.00
11,65,320.00
11,66,8.00
11,67,0.90
11,68,1.80
11,69,55.00
11,70,3100.00
11,71,0.02
11,72,45.00
11,74,21.00
11,85,475.00
11,86,855.00
11,87,1235.00
11,88,1805.00
11,89,1520.00
11,90,807.50
11,91,807.50
11,92,902.50
11,93,902.50
11,94,1235.00
11,96,1045.00
11,105,2700.00
11,113,400.00
11,114,700.00
12,2,13.00
12,37,375.00
12,45,30.00
12,46,400.00
12,47,6.00
12,48,7.50
12,50,3.00
12,53,0.30
12,54,0.40
12,55,5.00
12,57,0.30
12,58,25.00
12,59,0.30
12,62,5.00
12,63,300.00
12,64,40.00
12,65,40.00
12,66,5.00
12,69,10.00
13,2,14.00
13,37,375.00
13,45,35.00
13,46,600.00
13,47,10.00
13,48,10.00
13,50,4.00
13,53,0.40
13,54,0.50
13,55,6.00
13,57,0.60
13,58,35.00
13,59,0.50
13,62,10.00
13,63,500.00
13,64,50.00
13,65,60.00
13,66,5.00
13,69,15.00
14,2,16.00
14,37,400.00
14,45,40.00
14,46,800.00
14,47,10.00
14,48,10.00
14,50,6.00
14,53,0.70
14,54,0.80
14,55,9.00
14,57,1.00
14,58,50.00
14,59,0.70
14,62,15.00
14,63,800.00
14,64,70.00
14,65,80.00
14,66,10.00
14,69,20.00
15,2,24.00
15,37,500.00
15,45,45.00
15,46,800.00
15,47,10.00
15,48,10.00
15,50,7.00
15,53,0.90
15,54,1.10
15,55,12.00
15,57,1.10
15,58,75.00
15,59,1.00
15,62,20.00
15,63,800.00
15,64,90.00
15,65,120.00
15,66,10.00
15,69,20.00
16,2,28.00
16,37,700.00
16,45,45.00
16,46,800.00
16,47,10.00
16,48,10.00
16,50,7.00
16,53,1.00
16,54,1.20
16,55,13.00
16,57,1.40
16,58,100.00
16,59,1.40
16,62,30.00
16,63,800.00
16,64,120.00
16,65,170.00
16,66,10.00
16,69,30.00
17,2,45.00
17,37,1000.00
17,45,50.00
17,46,1200.00
17,47,12.00
17,48,10.00
17,50,10.00
17,53,1.30
17,54,1.50
17,55,17.00
17,57,1.70
17,58,150.00
17,59,2.00
17,62,45.00
17,63,1200.00
17,64,150.00
17,65,270.00
17,66,15.00
17,69,40.00
18,2,59.00
18,37,1000.00
18,45,60.00
18,46,1200.00
18,47,12.00
18,48,10.00
18,50,10.00
18,53,1.50
18,54,1.80
18,55,20.00
18,57,2.00
18,58,200.00
18,59,2.00
18,62,65.00
18,63,1200.00
18,64,150.00
18,65,400.00
18,66,15.00
18,69,50.00
19,2,58.00
19,37,1000.00
19,45,60.00
19,46,1200.00
19,47,10.00
19,48,10.00
19,50,10.00
19,53,1.50
19,54,1.70
19,55,19.00
19,57,2.00
19,58,200.00
19,59,2.00
19,62,70.00
19,63,1200.00
19,64,150.00
19,65,350.00
19,66,15.00
19,69,70.00
20,2,63.00
20,37,1000.00
20,45,60.00
20,46,800.00
20,47,10.00
20,48,5.00
20,50,10.00
20,53,1.50
20,54,1.70
20,55,19.00
20,57,2.00
20,58,200.00
20,59,2.00
20,62,80.00
20,63,800.00
20,64,150.00
20,65,350.00
20,66,15.00
20,69,70.00
21,2,63.00
21,37,1000.00
21,45,60.00
21,46,800.00
21,47,10.00
21,48,5.00
21,50,10.00
21,53,1.20
21,54,1.40
21,55,15.00
21,57,2.00
21,58,200.00
21,59,2.00
21,62,80.00
21,63,800.00
21,64,150.00
21,65,350.00
21,66,15.00
21,69,70.00
22,2,46.00
22,37,800.00
22,45,50.00
22,46,1200.00
22,47,15.00
22,48,10.00
22,50,8.00
22,53,1.10
22,54,1.30
22,55,15.00
22,57,1.40
22,58,150.00
22,59,2.00
22,62,45.00
22,63,1200.00
22,64,150.00
22,65,280.00
22,66,12.00
22,69,45.00
23,2,44.00
23,37,800.00
23,45,60.00
23,46,1200.00
23,47,15.00
23,48,10.00
23,50,8.00
23,53,1.10
23,54,1.30
23,55,15.00
23,57,1.50
23,58,180.00
23,59,2.00
23,62,55.00
23,63,1200.00
23,64,150.00
23,65,300.00
23,66,12.00
23,69,50.00
24,2,46.00
24,37,800.00
24,45,60.00
24,46,1200.00
24,47,15.00
24,48,10.00
24,50,8.00
24,53,1.10
24,54,1.30
24,55,15.00
24,57,1.60
24,58,180.00
24,59,2.00
24,62,60.00
24,63,1200.00
24,64,150.00
24,65,280.00
24,66,12.00
24,69,55.00
25,2,50.00
25,37,800.00
25,45,60.00
25,46,800.00
25,47,15.00
25,48,5.00
25,50,8.00
25,53,1.10
25,54,1.30
25,55,15.00
25,57,1.60
25,58,180.00
25,59,2.00
25,62,65.00
25,63,800.00
25,64,150.00
25,65,280.00
25,66,12.00
25,69,55.00
26,2,50.00
26,37,800.00
26,45,60.00
26,46,800.00
26,47,10.00
26,48,5.00
26,50,8.00
26,53,1.00
26,54,1.20
26,55,13.00
26,57,1.60
26,58,180.00
26,59,2.00
26,62,65.00
26,63,800.00
26,64,150.00
26,65,280.00
26,66,12.00
26,69,55.00
27,2,60.00
27,37,800.00
27,45,70.00
27,46,1200.00
27,47,30.00
27,48,10.00
27,50,10.00
27,53,1.50
27,54,1.60
27,55,17.00
27,57,2.20
27,58,400.00
27,59,2.20
27,62,65.00
27,63,1200.00
27,64,175.00
27,65,300.00
27,66,15.00
27,69,65.00
28,2,60.00
28,37,800.00
28,45,70.00
28,46,1200.00
28,47,30.00
28,48,10.00
28,50,10.00
28,53,1.50
28,54,1.60
28,55,17.00
28,57,2.20
28,58,400.00
28,59,2.20
28,62,65.00
28,63,1200.00
28,64,175.00
28,65,300.00
28,66,15.00
28,69,65.00
29,2,60.00
29,37,800.00
29,45,70.00
29,46,1200.00
29,47,30.00
29,48,10.00
29,50,10.00
29,53,1.50
29,54,1.60
29,55,17.00
29,57,2.20
29,58,400.00
29,59,2.20
29,62,65.00
29,63,1200.00
29,64,175.00
29,65,300.00
29,66,15.00
29,69,65.00
30,2,65.00
30,37,1300.00
30,45,95.00
30,46,1200.00
30,47,15.00
30,48,10.00
30,50,12.00
30,53,1.60
30,54,1.80
30,55,20.00
30,57,2.10
30,58,280.00
30,59,2.60
30,62,65.00
30,63,1200.00
30,64,200.00
30,65,355.00
30,66,19.00
30,69,75.00
31,2,62.00
31,37,1200.00
31,45,90.00
31,46,1200.00
31,47,15.00
31,48,10.00
31,50,11.00
31,53,1.60
31,54,1.70
31,55,20.00
31,57,2.10
31,58,260.00
31,59,2.60
31,62,65.00
31,63,1200.00
31,64,200.00
31,65,340.00
31,66,16.00
31,69,75.00
32,2,14.00
32,38,1500.00
32,45,35.00
32,46,600.00
32,47,15.00
32,48,10.00
32,49,400.00
32,50,3.36
32,51,5.00
32,53,0.50
32,54,0.60
32,55,8.00
32,57,0.40
32,58,100.00
32,59,2.00
32,60,50.00
32,61,3.00
32,63,500.00
32,64,45.00
32,65,70.00
32,66,5.00
32,67,0.60
33,2,16.00
33,38,2500.00
33,45,40.00
33,46,800.00
33,47,10.00
33,48,10.00
33,49,400.00
33,50,6.71
33,51,10.00
33,53,0.70
33,54,0.80
33,55,9.00
33,57,0.70
33,58,200.00
33,59,3.00
33,60,150.00
33,61,5.00
33,63,800.00
33,64,70.00
33,65,200.00
33,66,8.00
33,67,1.00
36,1,600.00
36,2,12.00
36,26,3.00
36,27,0.50
36,37,400.00
36,45,20.00
36,46,250.00
36,47,0.30
36,48,10.00
36,50,3.00
36,53,0.30
36,54,0.30
36,55,4.00
36,58,50.00
36,59,0.30
36,63,150.00
36,64,30.00
36,65,20.00
36,66,2.00
37,1,900.00
37,2,12.00
37,26,3.00
37,27,0.50
37,37,400.00
37,45,20.00
37,46,400.00
37,47,7.00
37,48,10.00
37,50,3.00
37,53,0.40
37,54,0.50
37,55,7.00
37,58,50.00
37,59,0.30
37,63,200.00
37,64,40.00
37,65,32.00
37,66,3.00
38,1,1100.00
38,2,13.00
38,26,4.00
38,27,0.60
38,37,400.00
38,45,20.00
38,46,500.00
38,47,6.00
38,48,10.00
38,50,3.00
38,53,0.50
38,54,0.60
38,55,8.00
38,58,65.00
38,59,0.30
38,63,300.00
38,64,55.00
38,65,40.00
38,66,4.00
39,1,1300.00
39,2,22.00
39,26,4.00
39,27,0.70
39,37,400.00
39,45,20.00
39,46,550.00
39,47,6.00
39,48,5.00
39,50,4.00
39,53,0.60
39,54,0.70
39,55,9.00
39,58,80.00
39,59,0.40
39,63,350.00
39,64,65.00
39,65,50.00
39,66,4.00
40,1,1800.00
40,2,26.00
40,26,6.00
40,27,1.00
40,37,500.00
40,45,25.00
40,46,600.00
40,47,8.00
40,48,5.00
40,50,5.00
40,53,0.70
40,54,0.90
40,55,13.00
40,58,90.00
40,59,0.50
40,63,400.00
40,64,85.00
40,65,65.00
40,66,5.00
41,1,2200.00
41,2,30.00
41,26,7.00
41,27,1.20
41,37,700.00
41,45,25.00
41,46,700.00
41,47,8.00
41,48,2.50
41,50,7.00
41,53,0.90
41,54,1.10
41,55,16.00
41,58,125.00
41,59,0.80
41,63,500.00
41,64,110.00
41,65,100.00
41,66,7.00
42,1,1900.00
42,2,30.00
42,26,6.00
42,27,1.00
42,37,700.00
42,45,25.00
42,46,700.00
42,47,8.00
42,48,2.50
42,50,6.00
42,53,0.80
42,54,1.00
42,55,14.00
42,58,125.00
42,59,0.80
42,63,500.00
42,64,95.00
42,65,100.00
42,66,7.00
43,1,2500.00
43,2,38.00
43,26,8.00
43,27,1.40
43,37,800.00
43,45,25.00
43,46,900.00
43,47,8.00
43,48,2.50
43,50,8.00
43,53,1.00
43,54,1.30
43,55,18.00
43,58,170.00
43,59,1.00
43,63,700.00
43,64,125.00
43,65,130.00
43,66,9.00
44,1,2200.00
44,2,40.00
44,26,7.00
44,27,1.10
44,37,800.00
44,45,25.00
44,46,1100.00
44,47,8.00
44,48,5.00
44,50,7.00
44,53,0.90
44,54,1.10
44,55,16.00
44,58,180.00
44,59,1.00
44,63,800.00
44,64,110.00
44,65,135.00
44,66,9.00
45,1,2800.00
45,2,50.00
45,26,9.00
45,27,1.40
45,37,900.00
45,45,30.00
45,46,1100.00
45,47,10.00
45,48,5.00
45,50,9.00
45,53,1.10
45,54,1.40
45,55,20.00
45,58,150.00
45,59,1.50
45,63,900.00
45,64,160.00
45,65,185.00
45,66,12.00
46,1,2200.00
46,2,42.00
46,26,7.00
46,27,1.20
46,37,800.00
46,45,30.00
46,46,1000.00
46,47,13.00
46,48,5.00
46,50,7.00
46,53,0.90
46,54,1.10
46,55,16.00
46,58,145.00
46,59,1.50
46,63,850.00
46,64,160.00
46,65,180.00
46,66,9.00
47,1,3200.00
47,2,55.00
47,26,11.00
47,27,1.80
47,37,1000.00
47,45,40.00
47,46,900.00
47,47,10.00
47,48,5.00
47,50,10.00
47,53,1.30
47,54,1.60
47,55,23.00
47,58,185.00
47,59,1.90
47,63,1000.00
47,64,160.00
47,65,230.00
47,66,12.00
48,1,2100.00
48,2,43.00
48,26,7.00
48,27,1.20
48,37,800.00
48,45,30.00
48,46,700.00
48,47,12.00
48,48,2.50
48,50,7.00
48,53,0.80
48,54,1.10
48,55,15.00
48,58,160.00
48,59,1.90
48,63,850.00
48,64,160.00
48,65,200.00
48,66,9.00
49,1,3000.00
49,2,58.00
49,26,10.00
49,27,1.60
49,37,1000.00
49,45,40.00
49,46,800.00
49,47,9.00
49,48,2.50
49,50,10.00
49,53,1.20
49,54,1.50
49,55,22.00
49,58,210.00
49,59,2.00
49,63,1000.00
49,64,160.00
49,65,240.00
49,66,12.00
50,1,2100.00
50,2,43.00
50,26,7.00
50,27,1.20
50,37,800.00
50,45,30.00
50,46,700.00
50,47,13.00
50,48,2.50
50,50,7.00
50,53,0.80
50,54,1.10
50,55,15.00
50,58,175.00
50,59,2.00
50,63,850.00
50,64,160.00
50,65,200.00
50,66,9.00
51,1,2700.00
51,2,61.00
51,26,9.00
51,27,1.50
51,37,1000.00
51,45,40.00
51,46,800.00
51,47,9.00
51,48,2.50
51,50,9.00
51,53,1.10
51,54,1.40
51,55,19.00
51,58,220.00
51,59,2.00
51,63,1000.00
51,64,160.00
51,65,250.00
51,66,12.00
52,1,2000.00
52,2,44.00
52,26,7.00
52,27,1.10
52,37,800.00
52,45,30.00
52,46,700.00
52,47,13.00
52,48,2.50
52,50,6.00
52,53,0.80
52,54,1.00
52,55,14.00
52,58,175.00
52,59,2.00
52,63,850.00
52,64,160.00
52,65,200.00
52,66,9.00
53,1,2300.00
53,2,60.00
53,26,8.00
53,27,1.30
53,37,1000.00
53,45,40.00
53,46,800.00
53,47,9.00
53,48,5.00
53,50,7.00
53,53,0.90
53,54,1.30
53,55,16.00
53,58,220.00
53,59,2.00
53,63,1000.00
53,64,160.00
53,65,250.00
53,66,12.00
54,1,1800.00
54,2,47.00
54,26,7.00
54,27,1.10
54,37,800.00
54,45,30.00
54,46,800.00
54,47,8.00
54,48,5.00
54,50,6.00
54,53,0.80
54,54,1.00
54,55,14.00
54,58,190.00
54,59,2.00
54,63,850.00
54,64,160.00
54,65,210.00
54,66,9.00
55,1,2000.00
55,2,57.00
55,26,7.00
55,27,1.00
55,37,1000.00
55,45,40.00
55,46,800.00
55,47,9.00
55,48,5.00
55,50,6.00
55,53,0.80
55,54,1.00
55,55,14.00
55,58,205.00
55,59,2.00
55,63,1000.00
55,64,160.00
55,65,230.00
55,66,12.00
56,1,1700.00
56,2,47.00
56,26,7.00
56,27,1.10
56,37,800.00
56,45,30.00
56,46,800.00
56,47,8.00
56,48,5.00
56,50,5.00
56,53,0.80
56,54,1.00
56,55,14.00
56,58,190.00
56,59,2.00
56,63,850.00
56,64,160.00
56,65,210.00
56,66,9.00
57,1,2200.00
57,2,48.00
57,26,7.30
57,27,1.25
57,37,800.00
57,45,30.00
57,46,1200.00
57,47,13.00
57,48,5.00
57,50,9.00
57,53,0.90
57,54,1.20
57,55,16.00
57,58,475.00
57,59,3.00
57,63,1050.00
57,64,185.00
57,65,215.00
57,66,15.00
58,1,2400.00
58,2,68.00
58,26,7.90
58,27,1.36
58,37,800.00
58,45,40.00
58,46,1200.00
58,47,18.00
58,48,5.00
58,50,9.00
58,53,0.90
58,54,1.40
58,55,17.00
58,58,475.00
58,59,3.00
58,63,1050.00
58,64,185.00
58,65,245.00
58,66,15.00
59,1,2400.00
59,2,72.00
59,26,7.90
59,27,1.36
59,37,800.00
59,45,40.00
59,46,1200.00
59,47,23.00
59,48,5.00
59,50,9.00
59,53,0.90
59,54,1.40
59,55,17.00
59,58,475.00
59,59,3.00
59,63,1050.00
59,64,185.00
59,65,245.00
59,66,15.00
60,1,2550.00
60,2,70.00
60,26,8.50
60,27,1.45
60,37,1200.00
60,45,55.00
60,46,1200.00
60,47,13.00
60,48,5.00
60,50,10.00
60,53,1.00
60,54,1.50
60,55,18.00
60,58,280.00
60,59,1.20
60,63,1050.00
60,64,210.00
60,65,265.00
60,66,15.00
61,1,2000.00
61,2,50.00
61,3,300.00
61,4,65.00
61,6,300.00
61,7,20.00
61,34,2400.00
61,35,3500.00
61,38,5000.00
61,45,60.00
61,46,1000.00
61,47,18.00
61,48,10.00
61,49,400.00
61,50,20.00
61,51,30.00
61,53,1.50
61,54,1.70
61,55,20.00
61,57,2.00
61,58,400.00
61,59,6.00
61,60,300.00
61,61,10.00
61,62,80.00
61,63,1000.00
61,64,150.00
61,65,400.00
61,66,15.00
61,67,2.00
61,68,2.00
61,69,70.00
61,71,0.12
61,72,75.00
61,74,25.00
62,2,9.10
62,3,60.00
62,4,31.00
62,26,4.40
62,27,0.50
62,34,120.00
62,35,400.00
62,45,40.00
62,46,210.00
62,47,0.27
62,48,5.00
62,52,4.00
62,53,0.20
62,54,0.30
62,55,2.00
62,57,0.10
62,59,0.40
62,60,5.00
62,61,1.70
62,62,2.00
62,63,100.00
62,64,110.00
62,65,30.00
62,66,2.00
62,67,0.20
62,68,3.0e-03
62,69,15.00
62,70,10.00
62,71,2.0e-04
62,72,2.00
62,85,167.00
62,86,436.00
62,87,529.00
62,88,938.00
62,89,640.00
62,90,353.00
62,91,353.00
62,92,807.00
62,93,807.00
62,94,519.00
62,96,214.00
62,105,700.00
62,113,65.00
62,114,400.00
64,2,13.00
64,3,130.00
64,26,7.00
64,27,0.70
64,34,1000.00
64,35,3000.00
64,45,15.00
64,46,500.00
64,47,7.00
64,48,5.00
64,52,6.00
64,53,0.50
64,54,0.50
64,55,6.00
64,57,0.50
64,59,0.90
64,60,8.00
64,61,2.00
64,62,30.00
64,63,460.00
64,64,90.00
64,65,80.00
64,66,3.00
64,67,0.34
64,68,1.20
64,69,20.00
64,70,700.00
64,71,0.01
64,72,17.00
64,74,19.00
64,85,96.00
64,86,384.00
64,87,336.00
64,88,756.00
64,89,696.00
64,90,336.00
64,91,336.00
64,92,648.00
64,93,648.00
64,94,444.00
64,96,252.00
64,105,1300.00
64,113,150.00
64,114,300.00
65,2,19.00
65,3,130.00
65,26,10.00
65,27,0.90
65,34,1200.00
65,35,3800.00
65,45,25.00
65,46,800.00
65,47,10.00
65,48,5.00
65,52,7.00
65,53,0.60
65,54,0.60
65,55,8.00
65,57,0.60
65,59,1.20
65,60,12.00
65,61,3.00
65,62,55.00
65,63,500.00
65,64,90.00
65,65,130.00
65,66,5.00
65,67,0.44
65,68,1.50
65,69,30.00
65,70,1000.00
65,71,0.01
65,72,22.00
65,74,25.00
65,85,120.00
65,86,480.00
65,87,440.00
65,88,980.00
65,89,920.00
65,90,440.00
65,91,440.00
65,92,820.00
65,93,820.00
65,94,560.00
65,96,320.00
65,105,1700.00
65,113,200.00
65,114,400.00
66,2,34.00
66,3,130.00
66,26,12.00
66,27,1.20
66,34,1500.00
66,35,4500.00
66,45,45.00
66,46,1300.00
66,47,8.00
66,48,5.00
66,52,11.00
66,53,0.90
66,54,0.90
66,55,12.00
66,57,1.00
66,59,1.80
66,60,20.00
66,61,4.00
66,62,60.00
66,63,1250.00
66,64,120.00
66,65,240.00
66,66,8.00
66,67,0.70
66,68,1.90
66,69,40.00
66,70,2000.00
66,71,0.02
66,72,34.00
66,74,31.00
66,85,216.00
66,86,864.00
66,87,792.00
66,88,1764.00
66,89,1656.00
66,90,792.00
66,91,792.00
66,92,1476.00
66,93,1476.00
66,94,1008.00
66,96,612.00
66,105,2400.00
66,113,300.00
66,114,600.00
67,2,52.00
67,3,130.00
67,26,16.00
67,27,1.60
67,34,1500.00
67,35,4700.00
67,45,75.00
67,46,1300.00
67,47,11.00
67,48,5.00
67,52,15.00
67,53,1.20
67,54,1.30
67,55,16.00
67,57,1.30
67,59,2.40
67,60,25.00
67,61,5.00
67,62,75.00
67,63,1250.00
67,64,150.00
67,65,410.00
67,66,11.00
67,67,0.89
67,68,2.20
67,69,55.00
67,70,3000.00
67,71,0.03
67,72,43.00
67,74,38.00
67,85,366.00
67,86,1342.00
67,87,1281.00
67,88,2867.00
67,89,2623.00
67,90,1281.00
67,91,1281.00
67,92,2318.00
67,93,2318.00
67,94,1647.00
67,96,915.00
67,105,3300.00
67,113,400.00
67,114,900.00
68,2,56.00
68,3,130.00
68,26,17.00
68,27,1.60
68,34,1500.00
68,35,4700.00
68,45,90.00
68,46,1000.00
68,47,8.00
68,48,5.00
68,52,15.00
68,53,1.20
68,54,1.30
68,55,16.00
68,57,1.30
68,59,2.40
68,60,30.00
68,61,5.00
68,62,120.00
68,63,700.00
68,64,150.00
68,65,400.00
68,66,11.00
68,67,0.90
68,68,2.30
68,69,55.00
68,70,4000.00
68,71,0.03
68,72,45.00
68,74,38.00
68,85,350.00
68,86,1400.00
68,87,1330.00
68,88,2940.00
68,89,2660.00
68,90,1330.00
68,91,1330.00
68,92,2310.00
68,93,2310.00
68,94,1680.00
68,96,980.00
68,105,3700.00
68,113,400.00
68,114,900.00
69,2,56.00
69,3,130.00
69,26,17.00
69,27,1.60
69,34,1500.00
69,35,4700.00
69,45,90.00
69,46,1000.00
