"NutrientGoalTemplateID","NutrientGoalTemplateName","GenderID","AgeLowerValue","AgeLowerUnitID","AgeUpperValue","AgeUpperUnitID"
53,"RNI-MALE-50 TO 74 YEARS",1,50.00,29,74.00,29
54,"RNI-FEMALE-50 TO 74 YEARS",2,50.00,29,74.00,29
55,"RNI-MALE-75+ YEARS",1,75.00,29,,
56,"RNI-FEMALE-75+ YEARS",2,75.00,29,,
57,"RNI-PREGNANT-1ST TRIMESTER",2,,,,
58,"RNI-PREGNANT-2ND TRIMESTER",2,,,,
59,"RNI-PREGNANT-3RD TRIMESTER",2,,,,
60,"RNI-LACTATING-19 TO 24 YEARS",2,19.00,29,24.00,29
61,"DAILY VALUES/RDI - ADULT/CHILD",,,,,
62,"DRI: RDA/AI-MALE-0 TO 6 MONTHS",1,0.00,28,6.00,28
64,"DRI: RDA/AI-MALE-1 TO 3 YEARS",1,1.00,29,3.00,29
65,"DRI: RDA/AI-MALE-4 TO 8 YEARS",1,4.00,29,8.00,29
66,"DRI: RDA/AI-MALE-9 TO 13 YEARS",1,9.00,29,13.00,29
67,"DRI: RDA/AI-MALE-14 TO 18 YEARS",1,14.00,29,18.00,29
68,"DRI: RDA/AI-MALE-19 TO 30 YEARS",1,19.00,29,30.00,29
69,"DRI: RDA/AI-MALE-31 TO 50 YEARS",1,31.00,29,50.00,29
70,"DRI: RDA/AI-MALE-51 TO 70 YEARS",1,51.00,29,70.00,29
71,"DRI: RDA/AI-MALE-70+ YEARS",1,70.00,29,,
72,"DRI: RDA/AI-FEMALE-0 TO 6 MONTHS",2,0.00,28,6.00,28
73,"DRI: RDA/AI-FEMALE-7 TO 12 MONTHS",2,6.00,28,12.00,28
74,"DRI: RDA/AI-FEMALE-1 TO 3 YEARS",2,1.00,29,3.00,29
75,"DRI: RDA/AI-FEMALE-4 TO 8 YEARS",2,4.00,29,8.00,29
76,"DRI: RDA/AI-FEMALE-9 TO 13 YEARS",2,9.00,29,13.00,29
77,"DRI: RDA/AI-FEMALE-14 TO 18 YEARS",2,14.00,29,18.00,29
78,"DRI: RDA/AI-FEMALE-19 TO 30 YEARS",2,19.00,29,30.00,29
79,"DRI: RDA/AI-FEMALE-31 TO 50 YEARS",2,31.00,29,50.00,29
80,"DRI: RDA/AI-FEMALE-51 TO 70 YEARS",2,51.00,29,70.00,29
81,"DRI: RDA/AI-FEMALE-70+ YEARS",2,70.00,29,,
82,"DRI: RDA/AI-PREGNANT-<19 YEARS",2,,,19.00,29
83,"DRI: RDA/AI-PREGNANT-19 TO 50 YEARS",2,19.00,29,50.00,29
84,"DRI: RDA/AI-LACTATING-<19 YEARS",2,,,19.00,29
85,"DRI: RDA/AI-LACTATING-19 TO 50 YEARS",2,19.00,29,50.00,29
86,"INFANT-0 TO 6 MONTHS",,0.00,29,0.50,29
87,"INFANT-7 TO 12 MONTHS",,0.50,29,1.00,29
88,"CHILDREN-1 TO 3 YEARS",,1.00,29,3.00,29
89,"CHILDREN-4 TO 6 YEARS",,4.00,29,6.00,29
90,"CHILDREN-7 TO 10 YEARS",,7.00,29,10.00,29
91,"FEMALE-71+ YEARS",2,71.00,29,,
92,"MALE-71+ YEARS",1,71.00,29,,
94,"DRI: RDA/AI-MALE-7 TO 12 MONTHS",,,,,
